genre,LR-weight,TFIDF-mean,TextRank,LDA,YAKE
Action,cop / superhero / martial / agent / assassin / battle,cop / agent / stop / martial / earth / battle,man / new / young / world / war / cop,earth / world / alien / war / planet / man,world war / young man / young woman / find agent / young girl / vietnam war
Adventure,adventure / expedition / treasure / jungle / journey / lost,earth / world / evil / adventure / lost / save,young / world / new / man / boy / earth,young / world / road / man / summary / adventure,young boy / world war / young girl / lost world / boy finds / full summary
Animation,animated / ball / batman / forest / dragon / ban,dragon / movie / animated / ball / ban / world,young / world / new / girl / boy / life,story / true / based / love / different / team,young boy / young girl / full summary / world war / young man / dragon ball
Biography,story / biopic / famous / life / edward / biography,story / life / based / documentary / career / american,life / story / american / man / world / young,documentary / american / war / united / world / film,true story / full summary / story / life / real life / day story
Comedy,comedy / guy / bumbling / wedding / happens / eccentric,school / comedy / love / friends / new / high school,life / man / new / young / love / family,year / old / young / girl / woman / comes,full summary / young man / high school / young boy / world war / young woman
Crime,crime / criminal / gangster / murder / cop / drug,murder / police / crime / cop / detective / drug,man / murder / police / young / life / cop,new / city / york / killer / life / cop,full summary / small time / young man / young girl / true story / drug dealers
Documentary,documentary / footage / portrait / summary / look / filmmaker,documentary / film / world / look / history / footage,documentary / world / life / film / summary / story,time / world / holmes / girls / sherlock / nick,full summary / documentary film / documentary follows / documentary filmmaker / documentary / documentary filmmakers
Drama,struggles / life / lover / lives / war / mother,life / young / story / love / woman / war,young / man / life / woman / story / family,school / high / life / friend / love / best,full summary / world war / young man / small town / high school / young boy
Family,boy / christmas / kid / little / dog / santa,boy / christmas / young boy / little / father / girl,young / boy / family / life / girl / father,america / vampire / young / life / summary / south,young boy / boy finds / young girl / teenage girl / magical world / young family
Fantasy,ghost / magical / fantasy / evil / kingdom / haunted,evil / magical / world / vampire / mysterious / christmas,young / man / life / world / new / girl,boy / christmas / young / girl / father / home,young boy / young girl / young man / young woman / world war / magical world
Film-Noir,murder / 1947 / 1949 / 1946 / 1944 / tries,murder / 1947 / 1949 / 1946 / 1944 / husband,murder / man / woman / tries / husband / wife,rise / life / child / fall / people / joe,murder plot / murder insurance / murder suspect / murder case / spy ring / wrong man
History,history / story / revolution / war / century / political,war / story / history / american / king / century,story / war / american / world / life / young,american / world / people / murder / help / war,world war / full summary / true story / civil war / american revolution / american civil
Horror,horror / terror / vampire / zombie / haunted / zombies,killer / dead / horror / vampire / house / haunted,man / young / family / new / town / killer,life / time / war / horror / family / world,serial killer / teenage girl / young girl / young woman / young man / small town
Music,music / singer / band / rock / pianist / concert,music / singer / rock / band / documentary / life,life / music / singer / band / rock / young,town / small / new / band / man / revenge,full summary / rock band / rock group / life story / rock music / young singer
Musical,musical / broadway / romance / 1933 / dancer / village,musical / broadway / romance / dancer / singer / 1933,life / love / musical / new / girl / young,life / family / house / friends / couple / new,girls girls / full summary / york city / high school / life love / york girl
Mystery,murder / killer / mysterious / obsessed / solve / conspiracy,murder / killer / detective / serial / serial killer / mysterious,murder / young / woman / man / killer / mysterious,man / king / wrong / goes / killer / death,serial killer / young woman / police detective / full summary / murder investigation / young boy
News,dangers / documentary / reporter / food / look / captivity,dangers / documentary / reporter / food / look / captivity,documentary / dangers / inequality / calcutta / look / reporter,man / vegas / christmas / agent / finds / lawyer,red light / documentary filmmakers / light kids / light district / american dream / food industry
Romance,love / woman / fianc / romance / wedding / relationship,love / woman / falls / falls love / young / relationship,love / young / woman / man / life / new,man / young / life / love / woman / good,full summary / young man / young woman / love life / high school / small town
Sci-Fi,future / scientist / alien / earth / robot / space,earth / alien / future / scientist / planet / space,earth / man / new / future / alien / world,war / scientist / murder / jack / cat / new,time machine / young man / young woman / attack earth / small town / human race
Short,wallace / dog / rabbit / christmas / 1969 / balance,christmas / dog / rabbit / wallace / pooh / winnie pooh,dog / christmas / summary / story / goes / local,los / angeles / special / life / comedy / stand,full summary / young boy / christmas eve / dog gromit / christmas caper / vinni pukh
Sport,coach / team / football / boxing / player / boxer,team / coach / football / player / baseball / basketball,team / school / coach / new / world / football,girl / john / world / project / order / turns,high school / football team / full summary / baseball team / football player / school football
Thriller,thriller / terror / murder / underworld / james bond / bond,murder / agent / killer / cop / kill / serial,man / young / woman / life / murder / new,son / young / man / park / life / agent,young woman / serial killer / family man / secret service / mysterious man / man murders
War,war / afghanistan / soldiers / japanese / officer / vietnam,war / world war / war ii / ii / world / german,war / world / american / group / soldiers / young,woman / husband / young / man / father / life,world war / civil war / vietnam war / war / korean war / nazi occupied
Western,outlaw / gunfighter / rancher / west / western / wild,outlaw / west / gunfighter / rancher / wild / western,town / outlaw / old / west / young / texas,woman / husband / star / finds / friends / wife,wild west / young man / wild horses / western town / native americans / wild bill
